threshold,precision,recall,f1,accuracy
0.3,0.667302192564347,0.9762900976290098,0.7927519818799547,0.878
0.35,0.6973947895791583,0.9707112970711297,0.8116618075801749,0.8923333333333333
0.4,0.7186192468619247,0.9581589958158996,0.8212791392707711,0.9003333333333333
0.45,0.7367280606717227,0.9483960948396095,0.8292682926829268,0.9066666666666666
0.5,0.7573363431151241,0.9358437935843794,0.8371802869619464,0.913
0.55,0.7755581668625147,0.9205020920502092,0.8418367346938775,0.9173333333333333
0.6,0.7944038929440389,0.9107391910739191,0.8486029889538661,0.9223333333333333
0.65,0.8076433121019109,0.8842398884239888,0.844207723035952,0.922
0.7,0.8277703604806409,0.8647140864714087,0.8458390177353342,0.9246666666666666
0.75,0.847009735744089,0.8493723849372385,0.8481894150417827,0.9273333333333333
